workerCounter,assignmentId,workerId,hitId,age,gender,sexual orientation,race,community
1,3ZR9AIQJUCFGKS3Z3Q4XDS8Z0YR04I,AGFWV1U4CJXP5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,35,1,2,2,6
2,338JKRMM2756XHPCAZL9WNTGEPPAH5,A24N00FSJO3DZP,3LG268AV38CKP4MYW6UNHQQT2Y7REC,35,1,2,2,2 6
3,378XPAWRUDJ6TC0WGH3UWZUVE24AIY,A1P8M5BKOTAA8I,3LG268AV38CKP4MYW6UNHQQT2Y7REC,38,2,2,6,6
4,30ZX6P7VF91DJKPYLKVF2IQXFT12JV,A3GMVBOJTE3AOC,3LG268AV38CKP4MYW6UNHQQT2Y7REC,25,2,2,4 6,2 3 4 6 0
5,3OF2M9AATHUY0FYSSC45Q80HFR0KZK,A2WJGI7XNUBRND,3LG268AV38CKP4MYW6UNHQQT2Y7REC,50,2,2,6,2 3 4 6 0
6,3KRVW3HTZORWPRCHIWND9SVIHHUMSL,A17QJQAJWR2HFX,3LG268AV38CKP4MYW6UNHQQT2Y7REC,30,1,2,6,3 4 6
7,3FIJLY1B6VAT6P484SF6JX6YXWCFPS,A1A3TGZ7DKJWRW,3LG268AV38CKP4MYW6UNHQQT2Y7REC,26,2,2,2,2 3 4 6
8,3CCZ6YKWR8PGC5VCHR60BVF63YG594,A38HCU1O9OS0C5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,52,1,2,5,6
9,3LRLIPTPERFXZ7QKGKO69F9866TAK9,A3CP90T5BS4AIB,3LG268AV38CKP4MYW6UNHQQT2Y7REC,57,1,2,6,6
10,3RU7GD8VPPZ2AU9UACF5QWPDMM5PSK,A2P18KT7WGSZA4,3LG268AV38CKP4MYW6UNHQQT2Y7REC,30,1,2,2,3 4 6
11,3VA45EW49OTKVAYZITN65VXEMHXO1J,A2MRPENDFJ0LXU,3LG268AV38CKP4MYW6UNHQQT2Y7REC,34,1,2,6,6
12,39U1BHVTDMXWI5HM1ENONYIYJ9ST32,A3N28BORDIK55A,3LG268AV38CKP4MYW6UNHQQT2Y7REC,33,2,1,6,1 4 6
13,31Z0PCVWULLEJOI93QQE0FUEOBET77,A13VIJ7G997ZCY,3LG268AV38CKP4MYW6UNHQQT2Y7REC,31,1,0,6,2 6
14,3Q8GYXHFEQ8IA32FTBGRDLGE9JJ5CL,A15LHHN76OW2UM,3LG268AV38CKP4MYW6UNHQQT2Y7REC,55,2,2,6,6
