workerCounter,assignmentId,workerId,hitId,age,gender,sexual orientation,race,community
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,23,2,2,2,1 2 3 4 6
2,3F6KKYWMNC7W5KEZX77OR8YIMJQDN9,A1HFM4HUTEN5U0,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,18,1,2,6,6
3,3DOCMVPBTOK5RW5CM1LRNDAC0MRNNY,ADIIRT3CODKPW,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,26,1,2,6,1 2 3 6
4,3YOH7BII0ADHRVTIRFF252NLSUOVKI,A14NP6X071S7GK,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,28,2,2,6,6
5,3IGI0VL648QN9H5ONGL422AHQWWNOD,A160HFSRDNT91E,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,26,2,2,6,3 6
6,3QRYMNZ7FZN3M9AWJX73WCG4P4DNTZ,A14WLAP6TCEKO0,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,31,2,2,3,3
7,3H0W84IWBL8MCOKRM9ZP6ALDNSGRE4,A1TLNLB9D87H6,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,31,1,2,6,3 6
8,3EKVH9QMEZA0GYP6BO94ZKVKBO02D8,A1BWS5AD2T4NIR,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,30,2,2,2 6,2 3 4 5 6 0
9,3RANCT1ZVGNGLD0OGCS4AD2CRU8BUT,A1BPV7X3HFU3S,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,33,2,2,4,6
10,35K3O9HUACJP9YFIVEZVPL7UK47EFY,A2LXPQS44US390,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,45,2,2,6,2 4 6
